pattern,replacement
A22_01(\d{4}),各年度別最深積雪\1年
A22_02(\d{4}),各年度別累計降雪量\1年
A22_03(\d{4}),各年度別最低気温\1年
A22_04(\d{4}),各年度別平均風速\1年
A22_10(\d{4}),各年別死者数\1年
A22_11(\d{4}),各年別行方不明者数\1年
A22_12(\d{4}),各年別重傷者数\1年
A22_13(\d{4}),各年別軽傷者数\1年
A22_14(\d{4}),各年別住家全壊棟数\1年
A22_15(\d{4}),各年別住家半壊棟数\1年
A22_16(\d{4}),各年別住家一部破損数\1年
A22_17(\d{4}),各年別除雪ボランティア団体数\1年
A22_18(\d{4}),各年別除雪ボランティア登録人数\1年
A22_19(\d{4}),各年別除雪ボランティア活動回数\1年
A22_20(\d{4}),各年別除雪ボランティアの延べ参加人数\1年
A37_34(\d{4}),各年別救急車出動件数\1年
A37_35(\d{4}),各年別消防防災ヘリ出動件数\1年
A37_36(\d{4}),各年別平均現場到着所要時間\1年
A37_37(\d{4}),各年別平均病院収容時間\1年
